Id,Weight,CityDistrict,DeliveryDateTime
0,0.3,8,2024-09-02 00:45:45
1,5.82,13,2024-09-01 19:29:29
2,5.33,19,2024-09-01 23:44:44
3,9.41,1,2024-09-01 16:47:47
4,1.24,5,2024-09-01 06:53:53
5,3.81,7,2024-09-01 15:50:50
6,1.59,6,2024-09-01 15:21:21
7,3.98,20,2024-09-01 04:20:20
8,5.98,2,2024-09-02 02:48:48
9,5.42,9,2024-09-01 22:48:48
10,3.79,18,2024-09-02 01:35:35
11,7.87,7,2024-09-01 17:05:05
12,3.34,20,2024-09-01 04:08:08
13,8.95,9,2024-09-01 16:44:44
14,7.96,7,2024-09-01 09:24:24
15,6.6,4,2024-09-01 12:52:52
16,2.34,8,2024-09-01 14:14:14
17,1.5,8,2024-09-01 23:25:25
18,3.95,3,2024-09-01 07:22:22
19,5.71,12,2024-09-01 11:39:39
20,6.72,20,2024-09-01 06:37:37
21,3.93,16,2024-09-01 17:18:18
22,8.58,5,2024-09-01 21:12:12
23,0.82,16,2024-09-01 05:49:49
24,4.83,6,2024-09-01 21:24:24
25,6.79,1,2024-09-01 05:22:22
26,2.57,13,2024-09-01 23:47:47
27,3.03,20,2024-09-01 18:27:27
28,6.87,15,2024-09-01 07:00:00
29,10.04,11,2024-09-01 10:45:45
30,4.48,1,2024-09-01 05:33:33
31,8.82,15,2024-09-01 11:56:56
32,9.86,14,2024-09-01 03:24:24
33,7.64,20,2024-09-01 03:02:02
34,7.77,18,2024-09-01 21:29:29
35,1.84,4,2024-09-01 16:37:37
36,8.35,5,2024-09-01 04:23:23
37,3.34,4,2024-09-01 17:36:36
38,4.88,13,2024-09-01 19:18:18
39,6.6,9,2024-09-01 23:33:33
40,4.16,1,2024-09-01 15:38:38
41,1.9,16,2024-09-02 02:37:37
42,0.29,8,2024-09-01 04:30:30
43,6.36,20,2024-09-01 17:24:24
44,1.87,8,2024-09-01 18:49:49
45,0.96,16,2024-09-01 06:25:25
46,4.51,13,2024-09-01 18:03:03
47,9.7,17,2024-09-01 19:25:25
48,2.45,13,2024-09-01 10:42:42
49,2.84,1,2024-09-01 10:11:11
50,0.34,4,2024-09-01 12:26:26
51,1.47,6,2024-09-02 01:18:18
52,7.01,5,2024-09-01 14:24:24
53,8.9,11,2024-09-01 17:09:09
54,4.91,16,2024-09-01 20:01:01
55,4.26,9,2024-09-01 05:35:35
56,8.02,19,2024-09-01 19:23:23
57,8.9,19,2024-09-01 17:37:37
58,1.99,18,2024-09-01 13:02:02
59,4.1,19,2024-09-01 09:01:01
60,3.05,6,2024-09-01 22:55:55
61,5.48,5,2024-09-01 07:16:16
62,3.79,20,2024-09-02 01:30:30
63,9.81,20,2024-09-01 16:43:43
64,1.29,8,2024-09-01 14:13:13
65,4.35,18,2024-09-02 02:33:33
66,8.09,19,2024-09-01 13:51:51
67,4.16,17,2024-09-01 09:22:22
68,1.48,10,2024-09-01 06:10:10
69,3.57,1,2024-09-01 06:18:18
70,7.34,14,2024-09-01 19:16:16
71,0.56,10,2024-09-01 04:11:11
72,9.52,11,2024-09-01 08:04:04
73,1.73,17,2024-09-01 06:42:42
74,1.15,5,2024-09-02 00:53:53
75,1.27,6,2024-09-01 14:13:13
76,3.62,5,2024-09-02 00:16:16
77,2,6,2024-09-01 10:21:21
78,2.34,20,2024-09-01 09:57:57
79,2.8,15,2024-09-01 11:08:08
80,8.63,20,2024-09-01 06:47:47
81,3.93,5,2024-09-01 03:55:55
82,4.4,2,2024-09-02 02:12:12
83,2.63,8,2024-09-01 06:23:23
84,8.76,7,2024-09-01 16:12:12
85,1.9,14,2024-09-01 18:27:27
86,8.26,11,2024-09-01 23:20:20
87,9.87,8,2024-09-01 04:50:50
88,8.63,7,2024-09-01 13:38:38
89,0.27,3,2024-09-01 20:46:46
90,8.03,5,2024-09-01 08:36:36
91,2.28,9,2024-09-01 17:06:06
92,9.78,7,2024-09-01 18:16:16
93,2.31,16,2024-09-01 18:26:26
94,9.13,18,2024-09-01 16:27:27
95,1.83,4,2024-09-01 14:03:03
96,3.24,10,2024-09-01 20:00:00
97,5.12,12,2024-09-01 08:16:16
98,1.88,16,2024-09-01 10:28:28
